300: ftp://mirror.csclub.uwaterloo.ca/x.org/X11R7.7/src/driver/
200: filename content-length last-modified file-type
201: "xf86-video-newport-0.2.4.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-nv-2.1.18.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-nv-2.1.18.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-openchrome-0.2.906.tar.bz2" 64 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-openchrome-0.2.906.tar.gz" 63 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-r128-6.8.2.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-r128-6.8.2.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-savage-2.3.4.tar.bz2" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-savage-2.3.4.tar.gz" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-siliconmotion-1.7.6.tar.bz2" 65 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-siliconmotion-1.7.6.tar.gz" 64 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-sis-0.10.4.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-sis-0.10.4.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-suncg6-1.1.1.tar.bz2" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-suncg6-1.1.1.tar.gz" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-sunffb-1.2.1.tar.bz2" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-sunffb-1.2.1.tar.gz" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-tdfx-1.4.4.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-tdfx-1.4.4.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-tga-1.2.1.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-tga-1.2.1.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-trident-1.3.5.tar.bz2" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-trident-1.3.5.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-v4l-0.2.0.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-v4l-0.2.0.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-vesa-2.3.1.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-vesa-2.3.1.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-vmware-12.0.2.tar.bz2" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-vmware-12.0.2.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-voodoo-1.2.4.tar.bz2" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-voodoo-1.2.4.tar.gz" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-wsfb-0.4.0.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-wsfb-0.4.0.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
